I
1200 Version - data cycle 2609, build 20260904, metadata NavXP1200. OpenAIRAC 1.0.0
 3 30.605002778 -96.420680556   264 11330  40   8.000 CLL  ENRT  K4 NARCOLLEGE STATION VORTAC
 3 35.190288889 -80.951752778   732 11500  40  -5.000 CLT  ENRT  K7 NARCHARLOTTE VOR-DME
 3 34.212522222 -119.094355556    63 11685  40  15.000 CMA  ENRT  K2 NARCAMARILLO VOR-DME
 3 33.337475000 -104.621244444  3776 11610 130  12.000 CME  ENRT  K2 NARCHISUM VORTAC
 3 40.034530556 -88.276075000   745 11575  40   3.000 CMI  ENRT  K5 NARCHAMPAIGN VORTAC
 3 41.280088889 -73.581327778   693 11660  40 -12.000 CMK  ENRT  K6 NARCARMEL VOR-DME
 3 47.170261111 -88.485394444  1071 11280  40  -2.000 CMX  ENRT  K5 NARHOUGHTON VOR-DME
 3 37.008608333 -88.836913889   485 11310  40   3.000 CNG  ENRT  K5 NARCUNNINGHAM VOR-DME
 3 32.256613889 -104.226038889  3257 11630  40  12.000 CNM  ENRT  K2 NARCARLSBAD VORTAC
 3 34.367016667 -105.678005556  6412 11550 130  13.000 CNX  ENRT  K2 NARCORONA VORTAC
 3 44.620452778 -108.964916667  4800 11180  40  14.000 COD  ENRT  K1 NARCODY VOR-DME
 3 47.773697222 -116.820588889  2293 10880  25  19.000 COE  ENRT  K1 NARCOEUR D'ALENE VOR-DME
 3 40.311630556 -74.159727778   129 11540  40 -11.000 COL  ENRT  K6 NARCOLTS NECK VOR-DME
 3 43.219786111 -71.575452778   715 11290  40 -15.000 CON  ENRT  K6 NARCONCORD VOR-DME
 3 28.462016667 -99.118544444   522 11580  40   9.000 COT  ENRT  K4 NARCOTULLA VORTAC
 3 38.810822222 -92.218275000   883 11020  40   0.000 COU  ENRT  K3 NARCOLUMBIA VOR-DME
 3 17.734502778 -64.700752778   833 10820  40 -10.000 COY  ENRT  TI NARST CROIX VOR-DME
 3 46.032000000 -112.747527778  5780 11605  40  16.000 CPN  ENRT  K1 NARCOPPERTOWN VOR-DME
 3 32.185722222 -96.218102778   400 11480  40   6.000 CQY  ENRT  K4 NARCEDAR CREEK VORTAC
 3 33.813841667 -78.724522222    27 11440  40  -3.000 CRE  ENRT  K7 NARGRAND STRAND VORTAC
 3 30.338880556 -81.509927778    42 11450 130  -3.000 CRG  ENRT  K7 NARCRAIG VORTAC
 3 40.612469444 -73.894463889     4 11230  25 -11.000 CRI  ENRT  K6 NARCANARSIE VOR-DME
 3 42.048027778 -83.457572222   628 11570 130  -3.000 CRL  ENRT  K5 NARCARLETON VOR-DME
 3 27.903766667 -97.444880556    60 11550 130   9.000 CRP  ENRT  K4 NARCORPUS CHRISTI VORTAC
 3 29.922355556 -99.214486111  2079 11750 130   8.000 CSI  ENRT  K4 NARCENTER POINT VORTAC
 3 38.641202778 -77.865500000   442 11630 130  -6.000 CSN  ENRT  K6 NARCASANOVA VORTAC
 3 48.564950000 -112.343255556  3791 11335  40  17.000 CTB  ENRT  K1 NARCUT BANK VOR-DME
 3 34.650497222 -80.274916667   598 11455  40  -3.000 CTF  ENRT  K7 NARCHESTERFIELD VOR-DME
 3 42.291319444 -72.949394444  1600 11510  40 -13.000 CTR  ENRT  K6 NARCHESTER VOR-DME
 3 31.819100000 -107.574494444  4008 11120  40  12.000 CUS  ENRT  K2 NARCOLUMBUS VOR-DME
 3 41.483975000 -99.689047222  2842 10820  40   8.000 CUZ  ENRT  K3 NARCUSTER COUNTY VOR-DME
 3 41.708547222 -90.483313889   767 11380  40   4.000 CVA  ENRT  K3 NARDAVENPORT VORTAC
 3 32.890311111 -96.903966667   443 11620 130   6.000 CVE  ENRT  K4 NARCOWBOY VOR-DME
 3 44.499566667 -123.293661111   242 11540 130  18.000 CVO  ENRT  K1 NARCORVALLIS VOR-DME
 3 48.244694444 -122.724416667   200 11720  40  19.000 CVV  ENRT  K1 NARPENN COVE VOR-DME
 3 30.378550000 -97.529847222   593 11280 130   6.000 CWK  ENRT  K4 NARCENTEX VORTAC
 3 39.817338889 -74.431625000   203 11340 130 -10.000 CYN  ENRT  K6 NARCOYLE VORTAC
 3 41.210966667 -104.772913889  6211 11310 130  13.000 CYS  ENRT  K1 NARCHEYENNE VORTAC
 3 43.999727778 -106.435730556  4800 11730 130  13.000 CZI  ENRT  K1 NARCRAZY WOMAN VOR-DME
 3 34.962458333 -116.578166667  1760 11320  40  15.000 DAG  ENRT  K2 NARDAGGETT VORTAC
 3 30.189711111 -94.644983333    76 11690 130   5.000 DAS  ENRT  K4 NARDAISETTA VORTAC
 3 39.439344444 -106.894680556 11800 11300 130  12.000 DBL  ENRT  K2 NARRED TABLE VOR-DME
 3 32.563461111 -82.830044444   306 11310  40  -5.000 DBN  ENRT  K7 NARDUBLIN VORTAC
 3 42.401469444 -90.709077778  1051 11580 130   4.000 DBQ  ENRT  K3 NARDUBUQUE VORTAC
